;T(entropy,1,0.01,0.4)sensitivity;T(entropy,1,0.01,0.4)specificity;T(entropy,1,0.01,0.4)precision;T(entropy,1,0.01,0.4)accuracy
7933197233428195239,1,1,40,(30, 25, 15);66.43;66.43;67.86;66.43;67.86;62.14;63.33;65.0;70.71;67.86;68.97;69.29;70.0;65.0;66.67;67.5
1735640862149943821,1,1,40,(30, 25, 15);69.29;71.43;70.37;70.36;68.57;68.57;67.86;68.57;70.0;67.86;68.97;68.93;67.86;67.14;67.86;67.5
3245434972983169324,1,1,40,(30, 25, 15);62.14;73.57;70.83;67.86;62.86;74.29;72.0;68.57;58.57;70.71;66.67;64.64;60.71;74.29;70.83;67.5
1708661255722239460,1,1,40,(30, 25, 15);72.14;84.29;83.33;78.21;70.0;83.57;80.0;76.79;76.43;86.43;84.0;81.43;75.71;86.43;84.0;81.07
1107158645723204584,1,1,40,(30, 25, 15);64.29;62.14;62.07;63.21;65.0;63.57;64.29;64.29;64.29;62.86;64.29;63.57;65.0;61.43;62.07;63.21
avg;66.63;71.12;70.2;68.88;66.02;69.69;68.71;67.86;68.27;70.31;70.3;69.29;67.75;71.23;70.69;69.49
std;4.22;6.94;6.46;4.74;3.57;7.37;5.75;4.3;6.37;7.56;6.35;5.91;5.3;8.19;6.81;5.61
7933197233428195239,1,1,60,(30, 75, 50);67.14;60.0;63.33;63.57;63.57;63.57;64.29;63.57;68.57;60.71;63.33;64.64;70.0;60.71;64.52;65.36
1735640862149943821,1,1,60,(30, 75, 50);75.0;69.29;70.0;72.14;77.14;63.57;68.75;70.36;74.29;66.43;70.0;70.36;70.71;65.71;66.67;68.21
3245434972983169324,1,1,60,(30, 75, 50);67.14;82.14;79.17;74.64;64.29;73.57;72.0;68.93;67.14;70.71;70.37;68.93;62.86;72.14;69.23;67.5
1708661255722239460,1,1,60,(30, 75, 50);77.86;81.43;81.48;79.64;77.14;80.71;81.48;78.93;76.43;80.0;77.78;78.21;79.29;82.14;81.48;80.71
1107158645723204584,1,1,60,(30, 75, 50);61.43;57.86;58.62;59.64;60.71;57.14;58.62;58.93;64.29;61.43;62.07;62.86;61.43;57.14;58.62;59.29
avg;70.31;70.92;71.21;70.61;68.67;69.49;69.95;69.08;71.02;67.14;68.35;69.08;69.7;68.47;69.18;69.08
std;5.55;9.89;8.45;7.0;6.56;8.34;7.2;6.37;4.4;7.87;5.93;5.39;6.18;9.4;7.52;6.73
7933197233428195239,1,1,60,(30, 45, 30);65.0;65.71;64.29;65.36;64.29;64.29;64.29;64.29;65.71;62.14;62.07;63.93;64.29;62.14;62.07;63.21
1735640862149943821,1,1,60,(30, 45, 30);72.14;66.43;68.97;69.29;76.43;62.86;67.74;69.64;74.29;62.86;67.74;68.57;73.57;62.86;67.74;68.21
3245434972983169324,1,1,60,(30, 45, 30);63.57;70.71;69.23;67.14;61.43;70.71;68.0;66.07;65.0;63.57;64.29;64.29;65.0;68.57;66.67;66.79
1708661255722239460,1,1,60,(30, 45, 30);72.14;81.43;80.0;76.79;72.86;77.86;76.92;75.36;69.29;82.14;79.17;75.71;72.14;83.57;80.0;77.86
1107158645723204584,1,1,60,(30, 45, 30);61.43;55.0;56.67;58.21;62.86;57.14;60.0;60.0;65.0;59.29;62.07;62.14;64.29;52.86;58.06;58.57
avg;66.53;69.18;68.43;67.86;67.04;68.67;68.88;67.86;68.88;67.04;68.01;67.96;68.47;67.76;68.47;68.11
std;4.8;9.2;8.09;6.51;5.65;7.64;6.02;5.15;3.73;8.29;6.42;4.97;3.98;10.26;7.72;6.52
7933197233428195239,1,2,20,(30, 75, 50);67.86;83.57;79.17;75.71;67.14;77.86;76.0;72.5;68.57;80.71;79.17;74.64;67.86;78.57;76.0;73.21
1735640862149943821,1,2,20,(30, 75, 50);64.29;83.57;78.26;73.93;62.14;80.0;73.91;71.07;67.14;82.14;79.17;74.64;64.29;80.0;75.0;72.14
3245434972983169324,1,2,20,(30, 75, 50);55.0;70.71;65.22;62.86;54.29;68.57;62.5;61.43;51.43;73.57;66.67;62.5;55.0;69.29;62.5;62.14
