;T(entropy, 1, 0.01, 0.4);T(entropy, 1, 0.01, 0.6);T(entropy, 1, 0.001, 0.4);T(entropy, 1, 0.001, 0.6);T(entropy, 2, 0.01, 0.4);T(entropy, 2, 0.01, 0.6);T(entropy, 2, 0.001, 0.4);T(entropy, 2, 0.001, 0.6);
1708661255722239460, 1, 1, 60, (30,  45,  30);(17.86, 67.86, 50.0, 57.58, 58.93);(25.0, 60.71, 64.29, 62.96, 62.5);(25.0, 67.86, 57.14, 61.29, 62.5);(21.43, 60.71, 60.71, 60.71, 60.71);(25.0, 71.43, 53.57, 60.61, 62.5);(25.0, 60.71, 64.29, 62.96, 62.5);(35.71, 78.57, 57.14, 64.71, 67.86);(25.0, 60.71, 64.29, 62.96, 62.5);
1708661255722239460,1,2,20,(30, 75, 50);(39.29, 67.86, 71.43, 70.37, 69.64);(53.57, 75.0, 78.57, 77.78, 76.79);(46.43, 71.43, 75.0, 74.07, 73.21);(53.57, 75.0, 78.57, 77.78, 76.79);(39.29, 67.86, 71.43, 70.37, 69.64);(53.57, 75.0, 78.57, 77.78, 76.79);(53.57, 78.57, 75.0, 75.86, 76.79);(53.57, 75.0, 78.57, 77.78, 76.79);
1708661255722239460,1,2,20,(30, 45, 30);(32.14, 75.0, 57.14, 63.64, 66.07);(32.14, 60.71, 71.43, 68.0, 66.07);(25.0, 67.86, 57.14, 61.29, 62.5);(32.14, 60.71, 71.43, 68.0, 66.07);(32.14, 75.0, 57.14, 63.64, 66.07);(32.14, 60.71, 71.43, 68.0, 66.07);(25.0, 67.86, 57.14, 61.29, 62.5);(32.14, 60.71, 71.43, 68.0, 66.07);
1708661255722239460,1,2,40,(30, 75, 50);(42.86, 82.14, 60.71, 67.65, 71.43);(46.43, 82.14, 64.29, 69.7, 73.21);(42.86, 82.14, 60.71, 67.65, 71.43);(46.43, 82.14, 64.29, 69.7, 73.21);(42.86, 82.14, 60.71, 67.65, 71.43);(46.43, 82.14, 64.29, 69.7, 73.21);(42.86, 82.14, 60.71, 67.65, 71.43);(46.43, 82.14, 64.29, 69.7, 73.21);
1708661255722239460,1,2,40,(30, 45, 30);(32.14, 78.57, 53.57, 62.86, 66.07);(50.0, 85.71, 64.29, 70.59, 75.0);(35.71, 75.0, 60.71, 65.62, 67.86);(50.0, 85.71, 64.29, 70.59, 75.0);(39.29, 78.57, 60.71, 66.67, 69.64);(50.0, 85.71, 64.29, 70.59, 75.0);(35.71, 75.0, 60.71, 65.62, 67.86);(50.0, 85.71, 64.29, 70.59, 75.0);
1107158645723204584,1,1,40,(30, 25, 15);(7.14, 53.57, 53.57, 53.57, 53.57);(14.29, 53.57, 60.71, 57.69, 57.14);(10.71, 60.71, 50.0, 54.84, 55.36);(14.29, 53.57, 60.71, 57.69, 57.14);(7.14, 57.14, 50.0, 53.33, 53.57);(14.29, 53.57, 60.71, 57.69, 57.14);(10.71, 57.14, 53.57, 55.17, 55.36);(14.29, 53.57, 60.71, 57.69, 57.14);
1107158645723204584,1,1,60,(30, 75, 50);(21.43, 57.14, 64.29, 61.54, 60.71);(10.71, 60.71, 50.0, 54.84, 55.36);(14.29, 60.71, 53.57, 56.67, 57.14);(3.57, 57.14, 46.43, 51.61, 51.79);(17.86, 64.29, 53.57, 58.06, 58.93);(3.57, 57.14, 46.43, 51.61, 51.79);(14.29, 57.14, 57.14, 57.14, 57.14);(14.29, 67.86, 46.43, 55.88, 57.14);
1107158645723204584,1,1,60,(30, 45, 30);(-10.71, 46.43, 42.86, 44.83, 44.64);(-3.57, 57.14, 39.29, 48.48, 48.21);(3.57, 53.57, 50.0, 51.72, 51.79);(-3.57, 57.14, 39.29, 48.48, 48.21);(-10.71, 46.43, 42.86, 44.83, 44.64);(-7.14, 53.57, 39.29, 46.88, 46.43);(-3.57, 50.0, 46.43, 48.28, 48.21);(-7.14, 53.57, 39.29, 46.88, 46.43);
1107158645723204584,1,2,20,(30, 75, 50);(35.71, 60.71, 75.0, 70.83, 67.86);(21.43, 60.71, 60.71, 60.71, 60.71);(32.14, 60.71, 71.43, 68.0, 66.07);(21.43, 60.71, 60.71, 60.71, 60.71);(32.14, 57.14, 75.0, 69.57, 66.07);(21.43, 60.71, 60.71, 60.71, 60.71);(25.0, 64.29, 60.71, 62.07, 62.5);(21.43, 60.71, 60.71, 60.71, 60.71);
1107158645723204584,1,2,20,(30, 45, 30);(35.71, 57.14, 78.57, 72.73, 67.86);(35.71, 67.86, 67.86, 67.86, 67.86);(28.57, 57.14, 71.43, 66.67, 64.29);(35.71, 67.86, 67.86, 67.86, 67.86);(32.14, 57.14, 75.0, 69.57, 66.07);(35.71, 67.86, 67.86, 67.86, 67.86);(39.29, 64.29, 75.0, 72.0, 69.64);(35.71, 67.86, 67.86, 67.86, 67.86);
1107158645723204584,1,2,40,(30, 75, 50);(28.57, 64.29, 64.29, 64.29, 64.29);(28.57, 57.14, 71.43, 66.67, 64.29);(28.57, 60.71, 67.86, 65.38, 64.29);(28.57, 57.14, 71.43, 66.67, 64.29);(28.57, 64.29, 64.29, 64.29, 64.29);(28.57, 57.14, 71.43, 66.67, 64.29);(25.0, 57.14, 67.86, 64.0, 62.5);(28.57, 57.14, 71.43, 66.67, 64.29);
1107158645723204584,1,2,40,(30, 45, 30);(21.43, 53.57, 67.86, 62.5, 60.71);(17.86, 57.14, 60.71, 59.26, 58.93);(25.0, 60.71, 64.29, 62.96, 62.5);(17.86, 57.14, 60.71, 59.26, 58.93);(0.0, 53.57, 46.43, 50.0, 50.0);(17.86, 57.14, 60.71, 59.26, 58.93);(3.57, 53.57, 50.0, 51.72, 51.79);(17.86, 57.14, 60.71, 59.26, 58.93);
